name,category,sub_category,lat,lng,district,opening_hours,budget
Esmer Chef,Dining,Italian;Italian_Pizza,41.0155133,28.9758964,Fatih,09:00-22:00,Medium
Pandeli,Dining,Turkish,41.0171446,28.9711789,Fatih,09:00-22:00,Medium
Bab-ı Hayat,Dining,Turkish,41.0157745,28.9717449,Fatih,09:00-22:00,Medium
Çamlıca Cafe,Dining,World Cuisine,41.1109484,28.9065172,Sultangazi,09:00-22:00,Medium
Paşazade Restaurant,Dining,World Cuisine,41.0127256,28.9773987,Fatih,09:00-22:00,Medium
Med Cezir,Dining,World Cuisine,41.0065767,28.9795596,Fatih,09:00-22:00,Medium
Sultan Köşesi,Dining,Turkish,41.004157,28.9763532,Fatih,09:00-22:00,Medium
istanbul enjoyer,Dining,World Cuisine,41.0081919,28.9768644,Fatih,09:00-22:00,Medium
Seven Hills Restaurant,Dining,Fish,41.0063716,28.9797148,Fatih,Mo-Su 07:30-23:00,Medium
Masal,Dining,World Cuisine,41.0082304,28.9765667,Fatih,09:00-22:00,Medium
Palmiye,Dining,World Cuisine,41.0081218,28.9775091,Fatih,09:00-22:00,Medium
Erzincanlı Ali Baba Restoran,Dining,World Cuisine,41.0155142,28.9632711,Fatih,09:00-22:00,Medium
Barbecue House,Dining,World Cuisine,41.0092702,28.9768605,Fatih,09:00-22:00,Medium
Erol,Dining,World Cuisine,41.0086103,28.9738568,Fatih,09:00-22:00,Medium
Keyf-i Mekan,Dining,Turkish,41.0122135,28.9680717,Fatih,09:00-22:00,Medium
Mivan Restaurant Cafe,Dining,Turkish,41.0062127,28.9690802,Fatih,Mo-Su 08:00-01:30,Medium
Spectra Cafe,Dining,World Cuisine,41.0038485,28.972559,Fatih,09:00-22:00,Medium
New Season,Dining,Turkish,41.0035022,28.9759805,Fatih,09:00-22:00,Medium
Little Havanna,Dining,Turkish,41.0031418,28.9750059,Fatih,09:00-22:00,Medium
Ensar Tatlicisi,Dining,Turkish,41.0468308,28.9333407,Eyüpsultan,09:00-22:00,Medium
Serbethane Cafe & Restaurant,Dining,Turkish,41.0043335,28.9768088,Fatih,09:00-22:00,Medium
İskenderun Kral Dürüm,Dining,Turkish,41.0151423,28.8770633,Güngören,09:00-22:00,Medium
Gümüş Kanat,Dining,Turkish,41.0142336,28.8779082,Güngören,09:00-22:00,Medium
Paşa Döner,Dining,Turkish,41.0062024,28.8708781,Bahçelievler,09:00-22:00,Medium
Kale Restaurant,Dining,Turkish,41.0162574,28.8774804,Güngören,09:00-22:00,Medium
Dürüm Durak,Dining,Turkish,41.0011725,28.88172,Zeytinburnu,09:00-22:00,Medium
Güvenç Konyalı,Dining,Turkish,41.0089447,28.8865534,Güngören,09:00-22:00,Medium
Pim Kitchen & Patisserie,Dining,Italian,41.025723,28.980903,Beyoğlu,09:00-22:00,Medium
Yeniköy Doğayı Koruma Derneği Bahçesi,Nature & Park,Park,41.1226588,29.0617394,Beykoz,09:00-22:00,Low
